GrantNumber,OutputId,Title,Year
178160,B46F81C9-861F-459F-BE4E-80B7C047960F,Prix universitaire Latsis,2021
151561,FFC01B3D-E3C8-42DC-AFE4-049E02DD4FC2,Best Paper Award (for paper presented at Annual Doctoral Conference at CEU in Budapest),2014
155150,CB06630E-6B70-4E73-A1B7-A03C9632CCE5,"Un Prix de Faculté (Lettres, Université de Lausanne) pour la thèse doctorale.",2017
155150,830D229B-E89A-4C29-8533-36CBC956B766,"2016 Feminist Theory Prize

The article “Coloniality at Work: Decolonial Critique and the Postfeminist Regime” (written and submitted while on the grant) was selected by a committee of  independent judges as the winner of the 2016 Feminist Theory essay prize. ",2017
165070,16BA4A99-FD83-40AD-8EE4-B69B25F32EB4,DeGEval Nachwuchspreis 2016,2016
148504,B3437FEF-A04F-40BA-B0C0-1444E0F5291D,"Le panel que j’ai organisé au 113th Annual meeting of the American Anthropological Association (Washington DC, USA, 06.12.2014) a été distingué par l’Association for Feminist Anthropology qui lui a décerné le statut de « invited session ». ",2014
171888,92CD0412-7413-423D-AFE5-5C9FD9500856,Prize for scientific contributions on issues of equal opportunities and/or diversity - Università della Svizzera italiana,2019
178149,03B215E7-706E-4174-8916-2CAD614BBF5F,ICLR Oral Presentation,2019
178149,A9FE4389-59A9-45B5-8E7E-D85BAEABDEE5,NeurIPS Spotlight Presentation,2019
124653,84013BCA-1A41-4361-9A28-8676300D9EF5,CLS prize for best MA thesis (Annina Meyer),2013
184112,78D90357-8707-4428-B748-DBE0E786FD96,Director's Grant UZH,2019
184112,C13B6D41-AF50-4CFB-9406-432738565DDC,Restud Tour North America,2021
131833,7F0BBB96-A8E4-439C-B6EB-2DC8000E5399,Alfred Deakin Post Doctoral Fellowship,2012
151946,83F8F92B-A4F5-44CE-95EF-4D7624D1D369,“Prix Carto Start” of the Swiss Association of Cartography,2017
151946,872944C5-1955-47AB-AF78-C76621FB3E37,EPFL Research highlights,2017
124080,E303B125-DE69-4426-970A-1BBD0DD86972,Personal fellowship for Carmen Mosquera from Colciencias,2012
158619,35AE125E-F7B6-4A30-B819-C2596BC04209,"The RAI/Sutasoma Award. 
This is an award from the Royal Anthropological Institute (RAI) (UK) that recognizes the potential outstanding merit of my thesis near completion. I have received the award in July 2016. 
The sum covers the costs related to the production of the thesis (e.g. printing, binding).",2016
161883,A79275DB-A13C-4BC8-948A-3F37D770A5FE,Promotion mit höchster Auszeichnung - Summa Cum Laude,2016
120799,453D6D9B-FBE4-40AA-B3D6-AAC621BC9E63,"Preis für die beste wissenschaftliche Online-Publikation SURFfoundation, Niederlande",2011
162163,4873EA9A-BD1A-4406-80CB-84298F029608,Prix Joseph des Arts,2017
162163,4F0F8CA9-B3BA-47C5-A754-09842483D392,Prix Walther Hug,2017
180399,BDB24797-C48B-464C-9148-4A1621DA2E47,Certificate of Merit anlässlich “Graubünden forscht – The Young Researchers Convention”  der Graduate School Graubünden in Davos am 19.09.2018,2018
148729,CE10F229-C1BF-4DB4-A3F2-B9B446AF1AD6,"Henry-E.-Siegerist Preis der Schweizerischen Gesellschaft fur Geschichte der Medizin und der Naturwissenschaften für die Dissertation ""Mission und Sozialhygiene: Schweizer Anti-Alkohol-Aktivismus im Kontext von Internationalismus und Kolonialismus, 1886–1939"".",2015
146901,FC78F8FE-CBB5-465F-9E63-EF37F5C0716C,Elsevier Student Paper Award,2013
134855,D879AEF5-432B-48DD-8F2F-4387382E142C,Förderbeitrag für die Abschlussfinanzierung der Promotion aus dem Forschungsfonds 2014 der Universität Basel,2014
134855,F9AC436F-69E3-4B78-AB0A-678D8C064BAE,Förderbeitrag für die Abschlussfinanzierung der Promotion durch die Pädagogische Hochschule FHNW,2015
127161,291B863E-7827-4402-BA80-0D97BA86116A,Professorin ZFH für Evaluation und Assessments in der Ergotherapie,2011
157696,C4697E6F-FF56-4763-A1D5-5036C9179A80,"Best rapid fire presentation at the ""2nd Young Scientist Symposium by the SSB+RM Young Scientists""",2017
157696,0DA3C27F-CADA-41D3-8D4D-DDE2D7654DDB,Best postdoc presentation at the Soft Matter Interface conference at Monte Verita,2017
157696,0BEF5D01-776E-40A1-B8A8-3E2F6B854AEB,"Poster Award and Best Image Award - MaP Graduate Symposium, ETH Zurich",2018
195062,52D9FAC9-6BFB-4BB9-AEBB-36D7275DE42E,"Best Ph.D Presentation Award, Agricultural Economics Society Conference 2021",2021
157733,B24E737C-1A6B-4EBF-A118-A01D45959E6B,PhD Award of the Swiss Operations Research Society,2017
157733,BF064F1D-75F7-4ABC-A073-D8D8ADA172AC,"George Nicholson Outstanding Student Paper (adviser), INFORMS Prize",2018
191722,2C9F2FA4-248C-4A16-BB37-69F3216B3BBA,Best poster,2021
191854,2DB41F2A-C368-4FDF-80CE-F1D366E5AB62,Nomination for ETH Medal for Doctoral dissertation defended at ETH Zurich,2021
178554,B73B2D73-8C55-4466-BB5E-1F9FAD69CE67,La thèse soutenue à la suite du Doc.Mobility a obtenu la mention honorifique Summa Cum Laude au titre de doctorat en sciences sociales de l'Université de Neuchâtel,2020
151775,97E29954-F401-4864-BA75-C97B936B5BBE,"Award:
2nd Place of Student Poster Competition, The Division of Experimental Psychology, Division 3 of the American Psychological Association (APA).

Location:
122nd American Psychological Association (APA) Convention, Division 3, Convention Center, Washington, D. C., USA.

Poster title:
Prétôt, L., Brosnan, S. F. Williamson, R. & Bshary, R. (August, 2014). Using a Cross Taxon Comparative Research Program to Explore the Evolution of Decision Making. ",2014
151775,134334EE-00CF-42BD-9E84-DB73DE4A6622,"Award:
Georgia State University Dissertation Grant (US$ 2,000)

Location:
GSU Grant Program, Georgia State University, Atlanta, GA, USA.

For dissertation project:
Ephemeral-Permanent Paradigm: Converging operations, differentiation & backward induction in a cross-taxon comparative	 research program (approved on December 2014)",2014
