PersonNumber,GrantNumber
130629,57468
138860,57468
38582,57468
559279,57468
100840,57473
10121,57473
3478,57473
46148,57473
118617,57475
118619,57475
130806,57475
134836,57475
45573,57475
503558,57475
503559,57475
518123,57475
10353,57476
119014,57476
121677,57476
121818,57476
122435,57476
130681,57476
135766,57476
139350,57476
139600,57476
502641,57476
502858,57476
502861,57476
502953,57476
118419,57479
24392,57479
3047,57479
49460,57479
501719,57479
503010,57479
507005,57479
511492,57479
91354,57479
96175,57479
118292,57481
125435,57481
129251,57481
4705,57481
503275,57481
504705,57481
514021,57481
91088,57481
106309,57496
118621,57496
128664,57496
133405,57496
139423,57496
139424,57496
517508,57496
537418,57502
114965,57505
121566,57505
15616,57505
41504,57505
500072,57505
514457,57505
520755,57505
118755,57507
130376,57507
134901,57507
138790,57507
4706,57507
510802,57507
84535,57507
115678,57508
122089,57508
123309,57508
126390,57508
128881,57508
129801,57508
129841,57508
139602,57508
503453,57508
511437,57508
513720,57508
515633,57508
8583,57508
26115,57511
119517,57513
119517,57513
124167,57513
129573,57513
503777,57513
507944,57513
507945,57513
510674,57513
524003,57513
528353,57513
528790,57513
76416,57513
88453,57513
104432,57516
114564,57516
118486,57516
46912,57516
507947,57516
511822,57516
513969,57516
119144,57519
119145,57519
119146,57519
122353,57519
125424,57519
132008,57519
4744,57519
500073,57519
519141,57519
519145,57519
77888,57519
106543,57525
110405,57525
119143,57525
120320,57525
120321,57525
139284,57525
19162,57525
2880,57525
4761,57525
503345,57525
509918,57525
511363,57525
513566,57525
112577,57528
115908,57528
124302,57528
124303,57528
134935,57528
137671,57528
20379,57528
502525,57528
126092,57532
126099,57532
128805,57532
33145,57532
35049,57532
500486,57532
503936,57532
507103,57532
507110,57532
54427,57532
4728,57534
82498,57534
82498,57534
109024,57539
118982,57539
118984,57539
118985,57539
139605,57539
37035,57539
507832,57539
510911,57539
513080,57539
98038,57539
10026,57542
110718,57542
11346,57542
123228,57542
126226,57542
134815,57542
33291,57542
48619,57542
512518,57542
512777,57542
517216,57542
517218,57542
517938,57542
118751,57548
122271,57548
500074,57548
503429,57548
60922,57548
62621,57548
118250,57552
121341,57552
121368,57552
85805,57552
112409,57562
123039,57562
123041,57562
130660,57562
130661,57562
131116,57562
26331,57562
4744,57562
61708,57562
124696,57572
130663,57572
130778,57572
26331,57572
41012,57572
114708,57595
114710,57595
75365,57595
109530,57619
109511,57620
10986,57626
1879,57626
20539,57626
7775,57626
61028,57632
91618,57660
119989,57695
47818,57695
109951,57697
80361,57704
110095,57737
121094,57741
4724,57741
7624,57741
99020,57741
128083,57746
49554,57746
504813,57746
7904,57746
91540,57746
95121,57746
95121,57746
104900,57750
111813,57750
121059,57750
122627,57750
48582,57750
7561,57750
7624,57750
99357,57750
99809,57750
100412,57751
110272,57751
26140,57751
27805,57751
4582,57751
4823,57751
531064,57751
76347,57751
76474,57751
93739,57751
95293,57751
99703,57751
100024,57753
10125,57753
108447,57753
108951,57753
124106,57753
125112,57753
125113,57753
126219,57753
128402,57753
128467,57753
128516,57753
133695,57753
134977,57753
27805,57753
4145,57753
53956,57753
76474,57753
85175,57753
91134,57753
93739,57753
94964,57753
95508,57753
99380,57753
99725,57753
100140,57755
107424,57755
108951,57755
110294,57755
115826,57755
116037,57755
129107,57755
13010,57755
130198,57755
130878,57755
36300,57755
44929,57755
4726,57755
53956,57755
7624,57755
76347,57755
85154,57755
94964,57755
99431,57755
99722,57755
110388,57770
110388,57770
29665,57770
105368,57791
111528,57791
111529,57791
116818,57791
116819,57791
116822,57791
116829,57791
131211,57791
131212,57791
131293,57791
131295,57791
131296,57791
131297,57791
134185,57791
134186,57791
134442,57791
137154,57791
137155,57791
541359,57791
63372,57791
66082,57791
82098,57791
86954,57791
91266,57791
94873,57791
95016,57791
116330,57794
23989,57794
26083,57794
78718,57794
8041,57794
121699,57795
121707,57795
130169,57795
54380,57795
76823,57795
90318,57795
116039,57797
121688,57797
131626,57797
133697,57797
135726,57797
135727,57797
138493,57797
139517,57797
51161,57797
69335,57797
7888,57797
111100,57798
131954,57798
131955,57798
50462,57798
63262,57798
84194,57798
54379,57799
54379,57799
101682,57800
112019,57800
43865,57800
44288,57800
50998,57800
71630,57800
118488,57803
121829,57803
16182,57803
44642,57803
69335,57803
84229,57803
133698,57806
44642,57806
553557,57806
57417,57806
69335,57806
25775,57807
72496,57807
72496,57807
81035,57807
116289,57808
25775,57808
72496,57808
94258,57808
104944,57809
106456,57809
110445,57809
120250,57809
120253,57809
123101,57809
123102,57809
124713,57809
130630,57809
15229,57809
16549,57809
35499,57809
35499,57809
45753,57809
45753,57809
524315,57809
524315,57809
69642,57809
71734,57809
73845,57809
81851,57809
81851,57809
94666,57809
95178,57809
107964,57811
28034,57811
62009,57811
69940,57811
19232,57812
8670,57812
8670,57812
95862,57812
116043,57813
116045,57813
122811,57813
137776,57813
17240,57813
4981,57813
119664,57814
74448,57814
74448,57814
74449,57814
74449,57814
110469,57815
123361,57815
3360,57815
10795,57816
22322,57816
3517,57816
51970,57816
56411,57816
89684,57816
124709,57817
126179,57817
37513,57817
46745,57817
9635,57817
110471,57819
110474,57819
13418,57819
503371,57819
503372,57819
110478,57820
116038,57820
127215,57820
130645,57820
61934,57820
109804,57822
137441,57822
137442,57822
137443,57822
40589,57822
89192,57822
125922,57823
48833,57823
9370,57823
114504,57824
125505,57824
20507,57824
33205,57824
33206,57824
95418,57824
99247,57824
118009,57825
126211,57825
3764,57825
41479,57825
43881,57825
66390,57825
13090,57826
3319,57826
40575,57828
58144,57828
58144,57828
115099,57829
115725,57829
130664,57829
20631,57829
97669,57829
105169,57830
110570,57830
30309,57830
34420,57830
3458,57830
75067,57830
122421,57832
123070,57832
126905,57832
70436,57832
61339,57835
71270,57835
76860,57835
